tanggal_id,produk_id,cabang_id,pelanggan_id,pembayaran_id,quantity,total,cogs,rating
1,1,1,1,1,7,548.9715,522.8299999999999,9.1
2,2,2,2,2,5,80.22,76.39999999999999,9.6
3,3,1,3,3,7,340.5255,324.31,7.4
4,1,1,4,1,8,489.048,465.76,8.4
5,4,1,3,1,7,634.3785,604.17,5.3
6,2,2,3,1,7,627.6165,597.7299999999999,4.1
7,2,1,1,1,6,433.692,413.04,5.8
8,3,2,2,1,10,772.38,735.5999999999999,8.0
9,1,1,1,3,2,76.146,72.52,7.2
10,5,3,1,3,3,172.746,164.52,5.9
11,6,3,1,1,4,60.816,57.92,4.5
12,2,3,4,2,4,107.142,102.04,6.8
13,2,1,2,1,5,246.4875,234.75,7.1
14,5,1,3,1,10,453.495,431.9,8.2
15,1,1,2,2,10,749.49,713.8,5.7
16,4,3,1,2,6,590.436,562.32,4.5
17,1,1,1,3,7,506.6355,482.50999999999993,4.6
18,4,1,3,3,6,457.443,435.66,6.9
19,5,1,3,3,3,172.2105,164.01,8.6
17,3,3,2,1,2,84.63,80.6,4.4
7,2,2,4,1,5,451.71,430.2,4.8
20,1,3,3,1,3,277.137,263.94,5.1
21,3,3,3,3,2,69.72,66.39999999999999,4.4
22,2,1,3,1,5,181.44,172.79999999999998,9.9
23,4,1,4,1,3,279.1845,265.89,6.0
24,3,1,1,3,8,441.756,420.72,8.5
5,6,3,3,2,1,35.196,33.52,6.7
25,6,1,2,3,2,184.107,175.34,7.7
26,5,3,2,2,5,463.89,441.8,9.6
21,1,1,3,2,9,235.2105,224.01,7.4
7,6,3,3,3,5,494.1825,470.65,4.8
27,4,3,4,2,9,737.7615,702.6299999999999,4.5
9,4,3,3,2,8,703.752,670.2399999999999,5.1
21,1,1,3,3,2,202.818,193.16,5.1
11,5,2,1,1,4,417.564,397.68,7.5
28,4,2,1,1,1,71.526,68.11999999999999,6.8
25,4,1,4,1,5,328.755,313.1,7.0
16,2,1,2,1,9,575.316,547.92,4.7
29,1,2,2,1,8,461.328,439.36,7.6
3,3,3,4,2,8,253.008,240.96,7.7
30,3,3,1,1,1,91.056,86.72,7.9
31,3,2,4,2,2,117.831,112.22,6.3
5,4,3,1,2,6,435.456,414.72,5.6
32,5,2,1,2,8,829.08,789.6,7.6
33,1,2,4,2,2,32.277,30.74,7.2
12,2,3,1,2,4,394.632,375.84,9.5
34,1,3,4,3,9,535.7205,510.21,8.4
11,5,3,1,1,9,189.0945,180.09,4.1
35,2,3,4,3,6,119.259,113.58,8.1
36,6,2,1,1,10,867.615,826.3,7.9
37,5,2,4,2,7,671.79,639.8,9.5
35,5,1,1,2,5,234.0975,222.95,8.5
24,6,3,1,1,4,75.054,71.48,6.5
26,6,2,4,3,1,16.2015,15.429999999999998,6.1
38,3,3,3,1,2,33.936,32.32,6.5
39,2,2,2,2,8,722.232,687.8399999999999,8.2
40,3,1,4,2,2,93.114,88.68,5.8
14,1,1,3,1,8,752.64,716.8,6.6
41,3,1,1,2,10,759.675,723.4999999999999,5.4
42,2,2,3,2,6,192.843,183.66,9.3
43,4,2,1,3,3,77.931,74.22,10.0
8,3,2,3,1,6,351.099,334.38,7.0
37,4,3,1,1,9,520.4115,495.63,10.0
44,4,1,4,3,10,166.005,158.1,8.6
45,1,3,4,2,4,318.108,302.96,7.6
46,1,1,4,2,10,166.635,158.7,5.8
35,1,2,2,1,2,70.287,66.94,6.7
28,6,3,1,1,6,614.943,585.66,9.9
47,4,1,3,2,10,827.085,787.7,6.4
31,1,1,1,2,1,19.2465,18.33,4.3
48,5,2,3,3,10,939.54,894.8,9.6
49,6,2,3,2,10,652.26,621.1999999999999,5.9
20,5,3,1,1,3,152.838,145.55999999999997,4.0
12,2,2,2,2,6,478.233,455.46,8.7
50,3,1,3,1,9,705.6315,672.03,9.4
51,2,2,2,3,10,437.325,416.5,5.4
52,6,2,4,3,9,463.428,441.36,8.6
53,6,1,1,3,9,189.0945,180.09,5.7
20,5,2,1,1,10,822.255,783.0999999999999,6.6
50,1,2,2,2,5,106.995,101.9,6.0
19,1,2,2,3,6,624.897,595.14,5.5
54,5,3,2,1,3,304.542,290.04,6.4
55,5,2,3,1,8,161.7,153.99999999999997,6.6
56,5,2,1,3,4,337.512,321.44,8.3
12,4,2,4,2,5,256.7775,244.54999999999995,6.6
20,4,2,2,1,7,610.491,581.42,4.0
6,6,2,3,2,5,401.73,382.6,9.9
40,5,1,4,3,7,362.943,345.66,7.3
57,4,1,3,2,1,44.5935,42.47,5.7
34,1,3,2,2,6,485.037,461.94,6.1
55,3,2,1,2,4,198.996,189.52,7.1
54,4,2,2,1,10,471.03,448.6,8.2
9,4,1,1,1,7,161.553,153.86,5.1
42,1,3,4,3,9,608.202,579.24,8.6
11,1,2,3,3,1,94.2375,89.75,6.6
2,2,1,3,1,1,102.018,97.16,7.2
15,1,3,3,1,10,922.635,878.6999999999999,5.1
58,2,2,2,2,6,78.435,74.7,4.1
29,5,1,3,1,3,166.1625,158.25,9.3
20,3,3,3,2,6,521.01,496.2,7.4
59,6,2,4,2,1,51.1455,48.71,4.1
60,6,2,3,2,9,742.2975,706.9499999999999,7.2
61,2,2,2,2,9,218.0115,207.63,4.9
62,5,1,3,2,6,367.038,349.56,9.9
36,1,3,3,2,7,223.0725,212.45,8.0
53,2,1,4,1,10,931.035,886.6999999999999,7.3
1,6,2,3,3,6,172.494,164.28,7.9
24,4,1,3,2,6,391.419,372.78,7.4
63,5,2,2,2,9,321.111,305.82,4.2
3,2,2,4,2,10,860.685,819.6999999999999,9.2
64,4,3,1,1,2,34.629,32.98,4.6
64,1,2,1,3,3,309.3615,294.62999999999994,7.8
43,6,3,2,2,7,535.374,509.88,8.4
65,3,1,4,1,9,548.7615,522.6299999999999,4.3
61,3,2,1,3,9,763.4655,727.11,9.5
23,6,2,2,3,3,85.113,81.06,7.1
20,6,3,4,1,5,115.185,109.7,5.3
66,6,3,4,1,1,53.928,51.35999999999999,5.2
31,5,1,2,1,10,115.08,109.6,6.0
41,3,3,3,1,2,112.224,106.88,4.1
45,2,1,2,3,8,836.304,796.4799999999999,5.2
53,4,2,4,3,7,419.832,399.84,6.5
12,4,3,4,3,9,944.622,899.6399999999999,4.2
46,3,2,4,3,8,536.844,511.28,4.6
12,6,3,1,1,8,474.348,451.76,7.3
25,3,1,2,3,7,688.6215,655.8299999999999,4.5
4,4,1,2,2,5,169.3125,161.25,9.0
67,6,2,2,3,9,299.8485,285.57,5.9
67,5,2,1,1,8,575.736,548.3199999999999,8.5
5,4,3,2,1,9,853.146,812.52,7.2
26,6,3,2,2,7,291.207,277.34,7.5
44,4,1,1,2,6,580.419,552.78,8.3
35,4,3,2,2,4,146.328,139.36,7.4
22,2,3,4,3,6,550.935,524.6999999999999,8.8
2,1,2,2,1,6,512.19,487.8,5.3
68,6,2,3,2,3,284.193,270.66,6.2
69,2,1,2,3,5,138.1275,131.54999999999998,8.8
68,3,1,1,2,6,216.846,206.52,9.8
70,4,3,3,2,10,545.055,519.0999999999999,8.2
33,4,1,3,1,8,609.0,580.0,9.2
55,4,2,1,3,10,942.9,897.9999999999999,5.4
26,1,2,4,2,10,950.25,905.0,8.1
64,1,2,1,2,10,720.3,685.9999999999999,9.1
71,5,2,1,3,1,31.9305,30.41,8.4
19,3,1,2,1,6,491.085,467.7,8.0
2,1,2,2,3,6,291.438,277.56,9.5
35,6,1,1,1,10,316.47,301.40000000000003,9.2
36,1,2,3,3,4,277.788,264.56,5.6
44,3,3,4,3,8,603.624,574.88,6.2
40,1,1,3,3,8,272.664,259.67999999999995,4.9
29,6,3,1,3,4,384.468,366.16,4.8
17,4,2,4,3,7,254.016,241.92,7.3
72,6,1,3,3,9,786.618,749.16,7.4
14,5,2,2,1,6,103.824,98.88,9.9
27,4,2,2,2,8,680.148,647.76,9.3
10,5,1,4,3,5,484.5225,461.45,9.0
73,2,3,4,2,1,75.7785,72.16999999999999,6.1
38,3,3,3,1,5,263.97,251.4,9.7
74,1,3,4,1,9,918.729,874.98,6.0
40,4,3,3,1,6,588.357,560.3399999999999,10.0
65,5,2,2,3,8,362.712,345.44,8.3
7,4,1,3,2,1,66.8745,63.69,6.0
46,5,1,3,3,7,336.5565,320.53000000000003,7.0
75,4,2,3,1,2,160.44,152.79999999999998,6.5
10,5,3,3,3,10,418.95,399.0,5.9
7,1,3,4,1,8,357.588,340.56,5.6
66,3,2,3,2,10,1003.59,955.8,4.8
5,6,1,3,3,10,1039.29,989.8,8.7
65,5,1,3,2,6,323.064,307.68,6.5
61,4,1,4,3,7,510.972,486.64,8.5
76,1,1,3,1,5,367.5525,350.05,5.5
54,5,3,4,3,5,420.2625,400.25,9.4
3,2,2,3,2,8,175.14,166.79999999999998,6.3
65,2,3,4,3,6,333.207,317.34,9.8
69,5,3,3,1,8,166.236,158.32,8.7
77,3,1,4,1,9,319.788,304.56,8.8
3,5,1,4,3,8,186.228,177.36,9.6
78,6,2,2,3,7,165.4485,157.57,4.8
29,5,1,3,1,6,465.444,443.28,4.4
27,1,2,4,1,3,273.42,260.4,9.9
58,6,2,3,2,7,472.311,449.82,5.7
55,5,2,4,2,8,323.148,307.76,7.7
29,4,1,4,1,10,162.75,155.0,8.0
26,1,2,3,1,8,288.204,274.48,5.7
32,4,1,2,3,7,90.699,86.38,6.7
20,5,3,4,1,3,56.952,54.24,8.0
3,3,3,1,1,8,793.716,755.92,7.5
5,3,3,4,2,4,195.174,185.88,7.0
35,3,1,3,1,1,77.7735,74.07,9.9
27,3,2,2,3,4,293.202,279.24,5.9
49,3,3,2,3,3,242.676,231.12,7.2
16,6,3,2,1,2,154.392,147.04,4.6
33,5,2,2,2,9,829.71,790.2,9.2
54,3,3,3,1,4,107.31,102.2,5.7
36,2,1,3,3,5,171.7275,163.54999999999998,9.9
51,6,2,1,2,1,78.0045,74.28999999999999,5.0
59,1,2,4,2,2,91.77,87.39999999999999,4.9
29,3,1,2,1,1,26.5545,25.29,6.1
42,1,2,3,3,4,174.3,166.0,8.2
22,5,2,1,3,5,374.7975,356.95,5.5
72,4,2,1,3,6,120.645,114.9,6.8
21,2,3,1,2,4,241.458,229.96,6.6
79,2,2,3,2,7,451.3635,429.87,9.8
11,1,3,4,1,10,271.95,259.0,8.7
43,3,3,4,3,5,93.2925,88.85,5.4
76,1,1,2,1,9,217.6335,207.27,7.9
73,2,2,1,3,9,629.8425,599.8499999999999,9.7
80,3,2,1,1,10,299.565,285.3,7.8
62,6,3,2,1,3,95.6655,91.11,5.1
23,2,3,2,3,9,942.4485,897.5699999999999,6.5
26,2,1,3,1,9,247.8735,236.07,5.9
66,5,2,2,2,9,881.307,839.34,8.8
81,3,3,3,1,5,484.89,461.8,4.9
73,4,3,3,3,3,146.223,139.26000000000002,4.4
17,4,3,1,2,7,217.6335,207.27,6.5
24,3,1,3,3,1,19.194,18.28,8.3
63,4,3,2,2,5,130.0425,123.84999999999998,8.5
82,2,1,1,2,3,298.116,283.92,5.5
13,6,3,3,1,8,796.908,758.96,8.7
25,5,3,2,3,3,180.621,172.02,7.9
83,2,3,3,1,6,285.705,272.1,6.1
44,5,3,3,1,7,456.288,434.56,5.4
22,2,2,3,2,5,62.0025,59.05,9.4
82,6,2,1,2,1,13.167,12.54,8.2
81,5,1,3,2,2,90.825,86.5,6.2
84,4,2,1,3,2,183.036,174.32,9.7
54,1,3,4,1,9,655.5465,624.33,4.0
83,2,2,4,1,4,155.652,148.23999999999998,9.7
85,2,3,1,2,6,571.41,544.1999999999999,5.3
17,3,1,2,1,8,532.728,507.36,7.4
54,6,3,2,2,2,170.877,162.74,6.5
42,2,3,1,3,3,33.3585,31.77,8.7
49,1,3,2,2,9,794.6505,756.81,8.0
82,6,3,4,2,4,310.044,295.28,6.7
12,1,1,4,1,10,545.37,519.4,6.5
41,4,1,2,1,2,195.594,186.28,4.1
27,1,2,3,3,5,91.4025,87.05,4.9
20,6,2,1,3,5,232.155,221.1,8.6
23,2,3,1,2,5,69.405,66.1,4.3
84,6,1,3,1,1,94.1745,89.69,4.9
84,5,1,3,3,9,235.683,224.46,5.6
17,1,1,3,3,2,125.517,119.54,5.8
39,6,2,4,3,2,195.72,186.4,6.0
1,3,1,4,2,4,263.13,250.6,4.2
31,3,3,3,3,8,788.508,750.96,8.3
18,3,1,4,2,8,399.756,380.72,5.7
58,2,3,1,2,3,256.41,244.2,4.8
55,6,1,4,1,5,94.185,89.7,6.8
28,2,1,4,3,4,326.424,310.87999999999994,8.8
79,5,3,3,3,7,536.991,511.42,4.2
31,5,3,4,1,9,439.8975,418.95,6.4
86,6,2,4,3,10,369.495,351.9,8.4
23,4,2,2,3,2,30.219,28.78,7.2
33,3,1,3,2,4,99.75,95.0,5.2
48,3,1,4,2,8,494.76,471.2,8.9
72,6,3,4,2,4,137.004,130.48,9.0
83,2,1,4,3,1,69.6675,66.35,9.7
64,3,1,4,1,6,163.233,155.46,8.7
78,2,1,4,1,4,135.45,128.99999999999997,6.5
14,2,2,4,3,4,276.948,263.76,6.9
36,2,1,2,1,9,709.317,675.54,6.2
38,6,2,2,1,4,69.09,65.8,5.6
46,6,3,1,2,4,160.86,153.20000000000002,5.7
58,4,1,1,2,10,233.52,222.4,4.2
85,4,3,3,1,1,57.1725,54.45,7.9
42,4,1,1,3,7,723.24,688.8,8.7
87,3,2,3,3,4,148.974,141.88,6.9
67,5,3,1,2,10,783.3,745.9999999999999,9.5
1,3,1,4,3,4,297.108,282.96,4.4
73,3,1,1,1,10,373.17,355.4,7.0
44,4,3,2,1,5,354.0075,337.15,6.3
76,1,2,1,2,2,44.352,42.24,9.7
28,3,1,1,3,9,203.553,193.86,8.8
4,3,1,2,2,2,25.263,24.06,5.1
85,1,3,2,1,6,628.173,598.26,7.9
28,6,3,3,2,7,352.5795,335.79,6.2
28,3,2,1,2,10,229.11,218.2,7.1
31,6,2,2,1,4,400.764,381.68,6.4
81,6,2,4,2,10,745.395,709.9,5.7
81,4,1,4,3,10,462.21,440.2,9.6
43,3,1,2,3,8,587.664,559.68,6.4
44,3,2,3,3,1,38.85,37.0,7.9
48,4,1,2,2,1,16.107,15.339999999999998,6.5
32,1,1,4,1,6,628.929,598.9799999999999,8.5
42,1,1,1,2,4,200.214,190.68,9.1
10,1,3,3,2,5,350.07,333.4,7.6
63,3,2,4,2,1,78.603,74.85999999999999,6.9
83,4,2,2,2,9,224.4375,213.75,9.5
26,5,3,2,3,7,356.5485,339.57,5.2
37,3,1,1,2,7,697.368,664.16,4.2
47,2,3,4,3,10,423.15,403.0,7.0
87,2,2,3,1,7,204.6975,194.95,6.0
68,2,1,1,2,1,65.604,62.48,4.7
19,5,1,1,2,2,76.356,72.71999999999998,7.1
46,1,3,3,1,10,190.155,181.1,5.9
3,2,2,1,2,5,272.58,259.6,7.5
15,2,2,3,2,4,121.128,115.36,6.4
9,3,1,4,1,6,493.794,470.28,5.8
26,3,1,4,2,4,252.042,240.04,4.5
65,3,2,1,2,1,93.0405,88.60999999999999,7.7
57,6,2,3,3,2,209.622,199.64,6.7
42,1,3,4,3,1,40.9605,39.01,4.7
7,5,2,3,2,1,51.0405,48.61,4.4
80,2,1,2,3,4,214.998,204.76,4.7
56,2,3,2,2,8,125.664,119.68,8.6
59,2,1,4,1,7,530.67,505.3999999999999,4.3
74,4,1,2,2,7,295.6905,281.61,9.6
22,3,1,1,2,8,745.836,710.3199999999999,4.1
77,2,1,1,1,3,83.412,79.44,4.7
20,6,1,2,2,2,172.011,163.82,7.8
83,4,3,4,2,6,503.559,479.58,5.5
64,6,2,4,1,2,145.593,138.66,9.7
61,5,1,1,3,5,74.7075,71.14999999999999,4.4
38,1,1,1,2,9,146.9475,139.95,5.0
35,2,2,1,2,10,820.365,781.3,4.4
45,5,2,4,2,2,208.677,198.74,5.2
58,5,2,1,2,3,66.402,63.24,7.3
9,2,2,4,2,5,392.6475,373.95,4.9
17,1,2,1,3,7,218.0745,207.69,8.1
68,1,2,4,1,4,185.094,176.27999999999997,8.4
85,5,2,2,2,9,216.6885,206.37,5.5
69,1,2,2,2,1,41.391,39.42,8.4
43,1,1,3,1,6,96.138,91.56,9.8
2,6,1,2,2,5,324.2925,308.85,6.7
30,3,1,3,3,6,135.576,129.11999999999998,9.4
42,4,3,3,1,4,410.508,390.96,6.4
12,5,1,4,2,5,523.845,498.9,5.4
42,5,2,4,2,4,395.892,377.04,8.6
26,1,3,4,3,4,214.746,204.52,4.0
6,2,1,4,2,4,152.712,145.43999999999997,7.6
14,3,3,3,2,9,208.089,198.18,6.8
22,5,1,3,3,3,103.635,98.7,9.1
37,6,1,3,2,5,404.355,385.1,5.5
87,5,1,4,3,2,49.308,46.96,7.9
63,4,2,4,1,5,77.175,73.5,8.5
77,2,1,1,3,5,149.3625,142.25,9.1
36,6,1,3,1,9,721.98,687.6,7.5
8,4,3,2,2,6,365.085,347.7,5.2
62,2,2,2,3,3,150.0975,142.95,9.5
64,5,3,1,3,9,404.649,385.38,8.9
35,2,3,4,3,3,151.4835,144.26999999999998,7.8
20,1,3,1,1,7,411.3795,391.79,8.9
43,1,3,1,2,7,565.215,538.3,7.7
75,5,2,2,1,5,509.4075,485.15,9.3
45,4,1,3,2,3,140.6475,133.95,6.2
34,6,1,2,1,9,736.4385,701.37,7.6
88,2,1,4,2,1,75.5475,71.95,7.3
41,3,2,1,2,8,749.7,714.0,4.7
62,2,1,3,2,7,191.247,182.14,5.1
34,1,3,2,3,10,141.75,135.0,4.8
43,6,2,1,3,10,1042.65,993.0,6.6
54,2,1,3,2,7,379.9215,361.83,5.5
87,6,3,1,3,7,402.2655,383.11,8.5
23,3,3,4,2,9,255.15,243.0,4.8
32,2,2,2,2,1,31.752,30.24,8.4
28,5,3,1,3,4,374.388,356.55999999999995,7.8
2,6,2,2,3,10,394.275,375.5,9.3
52,4,2,2,2,10,1002.12,954.4,5.2
60,2,3,3,1,3,86.625,82.5,6.5
33,4,3,3,2,1,78.7185,74.97,5.6
22,5,1,4,3,8,680.064,647.68,7.4
34,5,2,2,2,8,793.548,755.76,9.1
38,5,2,3,1,2,209.559,199.58,8.0
19,3,1,3,2,6,461.286,439.32,7.2
89,5,2,2,2,4,173.208,164.95999999999998,7.1
48,6,2,2,2,4,343.056,326.72,9.1
87,2,2,2,2,9,484.974,461.88,5.6
63,3,1,4,2,4,276.948,263.76,6.0
4,4,2,2,2,10,150.78,143.6,5.4
44,2,1,4,3,9,203.175,193.5,7.8
31,2,3,1,2,7,193.011,183.82,9.9
26,6,3,2,3,2,128.016,121.92,4.9
87,3,2,2,1,6,441.693,420.66,5.2
72,6,2,3,2,6,265.104,252.48,8.9
76,3,1,2,3,5,352.2225,335.45,9.1
79,6,1,1,1,5,507.675,483.5,7.0
1,3,3,1,3,9,334.341,318.42,9.6
71,4,2,3,1,7,701.8515,668.43,8.7
11,6,2,4,1,4,407.316,387.92,9.4
75,2,3,2,3,4,99.33,94.6,4.0
84,4,1,4,3,4,345.786,329.32,7.5
36,2,2,2,2,2,55.881,53.22,4.2
79,5,3,2,2,5,523.3725,498.44999999999993,9.9
60,5,2,1,1,4,314.538,299.56,4.2
48,5,1,2,1,5,214.935,204.7,9.9
83,4,3,4,2,1,79.611,75.82000000000001,5.8
17,5,2,3,2,6,294.651,280.62,6.0
10,1,1,2,3,10,339.36,323.2,10.0
4,6,2,1,1,9,510.9615,486.63,9.5
25,5,3,3,3,7,133.917,127.54,6.6
43,6,2,1,2,3,253.512,241.44,8.1
54,6,3,2,2,10,398.475,379.5,9.7
78,2,1,4,1,1,80.661,76.82,7.2
12,4,1,1,3,10,548.73,522.6,6.2
44,1,1,2,1,1,83.727,79.74,7.3
47,1,1,2,1,5,406.875,387.5,4.3
46,5,1,2,1,5,284.9175,271.35,4.6
21,3,3,3,2,9,128.4255,122.31,5.8
20,1,3,1,3,6,258.678,246.36,8.3
32,2,3,4,2,9,181.818,173.16,8.0
6,5,2,2,3,6,248.409,236.58,9.4
42,3,2,3,3,4,194.124,184.88,6.2
88,3,2,4,1,1,14.679,13.98,9.8
71,6,3,2,1,5,208.6875,198.75,9.6
70,6,2,1,1,7,718.7565,684.53,4.9
65,4,1,4,3,4,282.492,269.04,8.0
84,5,1,3,3,5,72.3975,68.94999999999999,7.8
73,6,3,1,2,4,288.582,274.84,4.1
32,3,1,2,1,4,237.426,226.12,5.5
27,6,2,2,1,5,125.055,119.1,5.4
57,1,3,2,2,10,359.205,342.1,5.1
26,4,3,3,1,2,45.927,43.74,6.9
73,1,1,4,2,5,110.0925,104.85,7.8
25,4,1,3,1,3,81.396,77.52,6.6
24,3,1,3,1,8,427.812,407.44,9.2
26,1,3,3,1,1,100.9155,96.11,7.8
67,3,2,2,3,4,190.596,181.52,8.7
50,1,2,1,1,1,85.5855,81.50999999999999,9.2
53,1,3,2,1,2,120.162,114.44,8.3
88,2,1,1,2,7,185.367,176.54,8.2
62,5,2,1,1,3,121.59,115.8,7.5
55,2,2,2,2,3,264.7575,252.15,9.8
5,6,2,1,3,10,1020.705,972.1,8.7
36,6,3,4,3,8,213.528,203.36,6.7
12,6,2,3,2,1,17.094,16.28,5.0
57,6,3,4,2,9,383.7645,365.49,7.0
19,1,1,4,2,7,390.7995,372.19,8.9
81,5,3,1,3,3,65.7405,62.60999999999999,8.0
34,4,3,3,2,5,353.1675,336.35,6.9
2,3,1,1,1,10,951.825,906.5,7.3
83,6,3,3,3,2,145.068,138.16,6.9
2,5,2,3,1,2,90.867,86.54,5.7
51,2,1,2,1,6,147.798,140.76,6.4
12,6,3,3,3,7,702.219,668.78,9.6
71,6,3,2,3,1,49.812,47.44,6.8
36,4,2,3,1,9,937.818,893.16,9.0
41,4,2,4,1,4,348.306,331.72,9.6
2,3,1,3,3,6,214.137,203.94,7.7
2,5,2,4,1,4,71.568,68.16,7.0
14,2,2,2,3,8,343.224,326.88,6.5
16,5,2,4,2,5,91.56,87.2,8.1
24,4,3,1,3,8,742.812,707.4399999999999,4.3
16,3,1,1,3,9,843.0345,802.89,6.5
67,6,2,3,1,1,13.419,12.78,9.5
16,4,1,2,2,7,140.385,133.7,9.7
27,1,3,1,3,1,20.1075,19.15,9.5
45,5,2,4,3,10,290.43,276.6,8.9
25,6,2,3,3,3,144.081,137.21999999999997,6.5
53,1,3,1,3,1,28.4235,27.07,5.3
59,4,3,1,3,1,41.076,39.12,9.6
18,2,3,2,2,6,470.673,448.26,6.7
57,2,3,3,2,6,138.663,132.06,7.6
33,5,1,2,1,5,333.9525,318.04999999999995,4.8
3,1,1,3,1,1,26.25,25.0,5.5
83,2,1,4,2,4,87.234,83.08,4.7
78,6,3,1,2,5,155.19,147.79999999999998,6.9
43,5,3,1,3,9,731.43,696.5999999999999,4.5
14,2,3,3,2,10,833.595,793.9,6.2
4,2,2,1,2,10,488.985,465.7,7.6
56,5,2,3,3,1,37.6845,35.89,7.9
37,5,2,3,2,5,212.73,202.6,4.5
3,5,3,1,3,10,767.025,730.5,8.7
37,4,2,2,2,4,310.59,295.79999999999995,6.1
86,5,2,1,2,1,23.751,22.62,6.4
62,5,1,4,3,5,269.535,256.7,9.1
23,4,2,1,3,10,572.775,545.5,7.1
5,1,2,1,3,7,273.0525,260.05,7.7
24,4,3,3,2,6,233.226,222.12,4.5
58,5,2,3,1,1,22.659,21.58,7.2
43,2,2,1,2,1,103.782,98.84,8.4
55,3,2,1,1,6,527.751,502.62,5.4
26,4,1,1,2,4,168.21,160.2,9.7
31,6,1,4,3,10,452.865,431.3,5.5
74,1,3,4,2,8,609.588,580.56,4.6
74,2,1,1,2,5,338.31,322.2,6.6
7,1,1,3,3,3,205.317,195.54,6.3
80,4,1,2,3,5,174.615,166.3,4.2
38,2,2,3,1,4,353.094,336.28,4.4
33,4,3,3,1,10,360.885,343.7,6.7
72,2,1,3,1,1,40.53,38.6,6.7
31,5,2,3,2,8,554.148,527.76,8.4
43,2,2,2,2,10,344.4,327.99999999999994,6.2
67,4,1,3,1,5,194.985,185.7,5.0
13,3,3,4,2,10,633.99,603.8,6.0
18,4,2,1,3,10,388.29,369.8,7.0
77,4,3,1,1,4,207.858,197.96,6.6
39,6,3,2,2,10,431.445,410.9,7.3
29,6,1,3,1,4,156.03,148.6,8.3
75,3,2,3,2,1,24.108,22.96,4.3
88,3,3,1,1,9,734.076,699.12,9.8
46,6,3,2,1,2,72.87,69.4,8.2
21,6,1,1,3,10,206.43,196.6,7.2
20,1,3,1,1,8,212.688,202.56,8.7
20,3,2,1,3,10,127.26,121.2,8.4
85,6,3,3,1,2,209.769,199.78,7.1
81,4,3,3,2,8,637.728,607.3599999999999,5.5
18,2,2,2,2,2,132.762,126.44,8.5
4,5,2,2,2,6,568.512,541.4399999999999,6.2
